Electricity.Timestep,Time,Sum,[kWh],Proper kWh
0,2016/07/01,00:00,0.069123454,0.069123454
60,2016/07/01,01:00,0.110288746,0.110288746
120,2016/07/01,02:00,0.118072459,0.118072459
180,2016/07/01,03:00,0.081401365,0.081401365
240,2016/07/01,04:00,0.122524315,0.122524315
300,2016/07/01,05:00,0.156600176,0.156600176
360,2016/07/01,06:00,0.448060599,0.448060599
420,2016/07/01,07:00,0.284998081,0.284998081
480,2016/07/01,08:00,0.494834696,0.494834696
540,2016/07/01,09:00,0.212056165,0.212056165
600,2016/07/01,10:00,0.134936957,0.134936957
660,2016/07/01,11:00,0.078004023,0.078004023
720,2016/07/01,12:00,0.773752738,0.773752738
780,2016/07/01,13:00,0.137344602,0.137344602
840,2016/07/01,14:00,0.090760243,0.090760243
900,2016/07/01,15:00,0.069762337,0.069762337
960,2016/07/01,16:00,0.07071057,0.07071057
1020,2016/07/01,17:00,0.101936588,0.101936588
1080,2016/07/01,18:00,0.136867653,0.136867653
1140,2016/07/01,19:00,0.066040458,0.066040458
1200,2016/07/01,20:00,0.067563209,0.067563209
1260,2016/07/01,21:00,0.181024912,0.181024912
1320,2016/07/01,22:00,0.244932126,0.244932126
1380,2016/07/01,23:00,0.129045761,0.129045761
1440,2016/07/02,00:00,0.065882152,0.065882152
1500,2016/07/02,01:00,0.067108437,0.067108437
1560,2016/07/02,02:00,0.13544495,0.13544495
1620,2016/07/02,03:00,0.105231999,0.105231999
1680,2016/07/02,04:00,0.075269486,0.075269486
1740,2016/07/02,05:00,0.065366505,0.065366505
1800,2016/07/02,06:00,0.720527928,0.720527928
1860,2016/07/02,07:00,0.249781796,0.249781796
1920,2016/07/02,08:00,0.666290653,0.666290653
1980,2016/07/02,09:00,0.413820163,0.413820163
2040,2016/07/02,10:00,0.139407144,0.139407144
2100,2016/07/02,11:00,0.106503104,0.106503104
2160,2016/07/02,12:00,0.06384472,0.06384472
2220,2016/07/02,13:00,0.069872388,0.069872388
2280,2016/07/02,14:00,0.158019914,0.158019914
2340,2016/07/02,15:00,0.068342436,0.068342436
2400,2016/07/02,16:00,0.064297447,0.064297447
2460,2016/07/02,17:00,0.094640084,0.094640084
2520,2016/07/02,18:00,0.143084893,0.143084893
2580,2016/07/02,19:00,0.061982841,0.061982841
2640,2016/07/02,20:00,0.085266831,0.085266831
2700,2016/07/02,21:00,0.145859792,0.145859792
2760,2016/07/02,22:00,0.13414327,0.13414327
2820,2016/07/02,23:00,0.068047006,0.068047006
2880,2016/07/03,00:00,0.071985629,0.071985629
2940,2016/07/03,01:00,0.086055868,0.086055868
3000,2016/07/03,02:00,0.157386518,0.157386518
3060,2016/07/03,03:00,0.096147517,0.096147517
3120,2016/07/03,04:00,0.129539889,0.129539889
3180,2016/07/03,05:00,0.297472156,0.297472156
3240,2016/07/03,06:00,0.532841017,0.532841017
3300,2016/07/03,07:00,0.159883795,0.159883795
3360,2016/07/03,08:00,0.349495105,0.349495105
3420,2016/07/03,09:00,0.515278597,0.515278597
3480,2016/07/03,10:00,0.817632291,0.817632291
3540,2016/07/03,11:00,0.661669071,0.661669071
3600,2016/07/03,12:00,0.092673614,0.092673614
3660,2016/07/03,13:00,0.136889237,0.136889237
3720,2016/07/03,14:00,0.068051314,0.068051314
3780,2016/07/03,15:00,0.066352119,0.066352119
3840,2016/07/03,16:00,0.08854887,0.08854887
3900,2016/07/03,17:00,0.157728985,0.157728985
3960,2016/07/03,18:00,0.078593646,0.078593646
4020,2016/07/03,19:00,0.062189988,0.062189988
4080,2016/07/03,20:00,0.087018579,0.087018579
4140,2016/07/03,21:00,0.173081808,0.173081808
4200,2016/07/03,22:00,0.060271839,0.060271839
4260,2016/07/03,23:00,0.08876833,0.08876833
4320,2016/07/04,00:00,0.104283103,0.104283103
4380,2016/07/04,01:00,0.098002217,0.098002217
4440,2016/07/04,02:00,0.080659336,0.080659336
4500,2016/07/04,03:00,0.079684383,0.079684383
4560,2016/07/04,04:00,0.110675292,0.110675292
4620,2016/07/04,05:00,0.173905178,0.173905178
4680,2016/07/04,06:00,0.75559034,0.75559034
4740,2016/07/04,07:00,0.132775943,0.132775943
4800,2016/07/04,08:00,0.707518394,0.707518394
4860,2016/07/04,09:00,0.724821458,0.724821458
4920,2016/07/04,10:00,0.195867246,0.195867246
4980,2016/07/04,11:00,0.078890879,0.078890879
5040,2016/07/04,12:00,"208,650,095,013,758",2.08650095
5100,2016/07/04,13:00,0.991485091,0.991485091
5160,2016/07/04,14:00,"115,196,866,246,741",1.151968662
5220,2016/07/04,15:00,0.073584323,0.073584323
5280,2016/07/04,16:00,0.071082407,0.071082407
5340,2016/07/04,17:00,0.076307993,0.076307993
5400,2016/07/04,18:00,0.251281712,0.251281712
5460,2016/07/04,19:00,0.096828184,0.096828184
5520,2016/07/04,20:00,0.184481802,0.184481802
5580,2016/07/04,21:00,0.168851387,0.168851387
5640,2016/07/04,22:00,0.105837324,0.105837324
5700,2016/07/04,23:00,0.134824609,0.134824609
5760,2016/07/05,00:00,0.064298225,0.064298225
5820,2016/07/05,01:00,0.085051763,0.085051763
5880,2016/07/05,02:00,0.094627378,0.094627378
5940,2016/07/05,03:00,0.138743212,0.138743212
6000,2016/07/05,04:00,0.11520206,0.11520206
6060,2016/07/05,05:00,0.083418136,0.083418136
6120,2016/07/05,06:00,0.871752167,0.871752167
6180,2016/07/05,07:00,0.401908587,0.401908587
6240,2016/07/05,08:00,0.370622935,0.370622935
6300,2016/07/05,09:00,0.071602199,0.071602199
6360,2016/07/05,10:00,0.071160792,0.071160792
6420,2016/07/05,11:00,0.133535095,0.133535095
6480,2016/07/05,12:00,0.133605334,0.133605334
6540,2016/07/05,13:00,0.077861717,0.077861717
6600,2016/07/05,14:00,0.084238878,0.084238878
6660,2016/07/05,15:00,0.686353813,0.686353813
6720,2016/07/05,16:00,0.182795425,0.182795425
6780,2016/07/05,17:00,0.065869667,0.065869667
6840,2016/07/05,18:00,0.168766185,0.168766185
6900,2016/07/05,19:00,0.100713725,0.100713725
6960,2016/07/05,20:00,0.145157568,0.145157568
7020,2016/07/05,21:00,0.093778405,0.093778405
7080,2016/07/05,22:00,0.097801583,0.097801583
7140,2016/07/05,23:00,0.114341383,0.114341383
7200,2016/07/06,00:00,0.106538135,0.106538135
7260,2016/07/06,01:00,0.06008834,0.06008834
7320,2016/07/06,02:00,0.086427128,0.086427128
7380,2016/07/06,03:00,0.151972424,0.151972424
7440,2016/07/06,04:00,0.130742235,0.130742235
7500,2016/07/06,05:00,0.090553132,0.090553132
7560,2016/07/06,06:00,0.475854287,0.475854287
7620,2016/07/06,07:00,0.626604955,0.626604955
7680,2016/07/06,08:00,"123,314,236,351,074",1.233142364
7740,2016/07/06,09:00,0.47310446,0.47310446
7800,2016/07/06,10:00,0.398969753,0.398969753
7860,2016/07/06,11:00,0.06409117,0.06409117
7920,2016/07/06,12:00,0.087098652,0.087098652
7980,2016/07/06,13:00,0.157925209,0.157925209
8040,2016/07/06,14:00,0.247820803,0.247820803
8100,2016/07/06,15:00,0.061508785,0.061508785
8160,2016/07/06,16:00,0.09919089,0.09919089
8220,2016/07/06,17:00,0.130410947,0.130410947
8280,2016/07/06,18:00,0.066718465,0.066718465
8340,2016/07/06,19:00,0.088399728,0.088399728
8400,2016/07/06,20:00,0.097091746,0.097091746
8460,2016/07/06,21:00,0.179055592,0.179055592
8520,2016/07/06,22:00,0.08955468,0.08955468
8580,2016/07/06,23:00,0.078033714,0.078033714
8640,2016/07/07,00:00,0.086570436,0.086570436
8700,2016/07/07,01:00,0.157991362,0.157991362
8760,2016/07/07,02:00,0.072529825,0.072529825
8820,2016/07/07,03:00,0.076683849,0.076683849
8880,2016/07/07,04:00,0.15042577,0.15042577
8940,2016/07/07,05:00,0.210767821,0.210767821
9000,2016/07/07,06:00,0.531981236,0.531981236
9060,2016/07/07,07:00,0.148631262,0.148631262
9120,2016/07/07,08:00,0.426113012,0.426113012
9180,2016/07/07,09:00,0.233052232,0.233052232
9240,2016/07/07,10:00,0.079873678,0.079873678
9300,2016/07/07,11:00,0.071028173,0.071028173
9360,2016/07/07,12:00,0.122598948,0.122598948
9420,2016/07/07,13:00,0.104863116,0.104863116
9480,2016/07/07,14:00,0.068163346,0.068163346
9540,2016/07/07,15:00,0.063717605,0.063717605
9600,2016/07/07,16:00,0.155903709,0.155903709
9660,2016/07/07,17:00,0.180024434,0.180024434
9720,2016/07/07,18:00,0.076228847,0.076228847
9780,2016/07/07,19:00,0.082816104,0.082816104
9840,2016/07/07,20:00,0.157536174,0.157536174
9900,2016/07/07,21:00,0.122898298,0.122898298
9960,2016/07/07,22:00,0.088991765,0.088991765
10020,2016/07/07,23:00,0.088816126,0.088816126
