Electricity.Timestep,Time,Sum,[kWh],Proper kWh,
0,2016/07/01,00:00,0.137076606,0.137076606,0.238448492
60,2016/07/01,01:00,0.252002909,0.252002909,
120,2016/07/01,02:00,0.220902074,0.220902074,
180,2016/07/01,03:00,0.353575895,0.353575895,
240,2016/07/01,04:00,0.298712078,0.298712078,
300,2016/07/01,05:00,0.259331907,0.259331907,
360,2016/07/01,06:00,0.610253226,0.610253226,
420,2016/07/01,07:00,0.617322922,0.617322922,
480,2016/07/01,08:00,0.038952845,0.038952845,
540,2016/07/01,09:00,0.034963897,0.034963897,
600,2016/07/01,10:00,0.046939316,0.046939316,
660,2016/07/01,11:00,0.037815137,0.037815137,
720,2016/07/01,12:00,0.036800412,0.036800412,
780,2016/07/01,13:00,0.725741419,0.725741419,
840,2016/07/01,14:00,0.980994018,0.980994018,
900,2016/07/01,15:00,0.036951551,0.036951551,
960,2016/07/01,16:00,0.037642484,0.037642484,
1020,2016/07/01,17:00,0.044259742,0.044259742,
1080,2016/07/01,18:00,"130,355,227,031,497",1.30355227,
1140,2016/07/01,19:00,0.051336781,0.051336781,
1200,2016/07/01,20:00,0.055798569,0.055798569,
1260,2016/07/01,21:00,0.07470728,0.07470728,
1320,2016/07/01,22:00,0.03734548,0.03734548,
1380,2016/07/01,23:00,0.039209822,0.039209822,
1440,2016/07/02,00:00,0.036595996,0.036595996,
1500,2016/07/02,01:00,0.03686317,0.03686317,
1560,2016/07/02,02:00,0.039714118,0.039714118,
1620,2016/07/02,03:00,0.044930226,0.044930226,
1680,2016/07/02,04:00,0.038015995,0.038015995,
1740,2016/07/02,05:00,0.049507719,0.049507719,
1800,2016/07/02,06:00,"101,509,035,401,438",1.015090354,
1860,2016/07/02,07:00,0.371277994,0.371277994,
1920,2016/07/02,08:00,0.465340407,0.465340407,
1980,2016/07/02,09:00,"115,087,959,598,411",1.150879596,
2040,2016/07/02,10:00,0.738231225,0.738231225,
2100,2016/07/02,11:00,"161,085,439,835,794",1.610854398,
2160,2016/07/02,12:00,"251,162,822,735,161",2.511628227,
2220,2016/07/02,13:00,0.477275809,0.477275809,
2280,2016/07/02,14:00,0.053859917,0.053859917,
2340,2016/07/02,15:00,0.04197325,0.04197325,
2400,2016/07/02,16:00,0.04600532,0.04600532,
2460,2016/07/02,17:00,0.38257641,0.38257641,
2520,2016/07/02,18:00,0.531165055,0.531165055,
2580,2016/07/02,19:00,0.113040526,0.113040526,
2640,2016/07/02,20:00,0.085096172,0.085096172,
2700,2016/07/02,21:00,0.199516634,0.199516634,
2760,2016/07/02,22:00,0.154222033,0.154222033,
2820,2016/07/02,23:00,0.191289611,0.191289611,
2880,2016/07/03,00:00,0.277636863,0.277636863,
2940,2016/07/03,01:00,0.155048446,0.155048446,
3000,2016/07/03,02:00,0.164412026,0.164412026,
3060,2016/07/03,03:00,0.175881294,0.175881294,
3120,2016/07/03,04:00,0.192368453,0.192368453,
3180,2016/07/03,05:00,0.080094914,0.080094914,
3240,2016/07/03,06:00,0.545689535,0.545689535,
3300,2016/07/03,07:00,0.86496507,0.86496507,
3360,2016/07/03,08:00,0.560163844,0.560163844,
3420,2016/07/03,09:00,0.124291446,0.124291446,
3480,2016/07/03,10:00,0.054917502,0.054917502,
3540,2016/07/03,11:00,0.037792771,0.037792771,
3600,2016/07/03,12:00,0.036770276,0.036770276,
3660,2016/07/03,13:00,0.391755718,0.391755718,
3720,2016/07/03,14:00,0.699177228,0.699177228,
3780,2016/07/03,15:00,0.036738194,0.036738194,
3840,2016/07/03,16:00,0.098920503,0.098920503,
3900,2016/07/03,17:00,0.102997007,0.102997007,
3960,2016/07/03,18:00,0.060630097,0.060630097,
4020,2016/07/03,19:00,0.04681301,0.04681301,
4080,2016/07/03,20:00,0.057208329,0.057208329,
4140,2016/07/03,21:00,0.118311028,0.118311028,
4200,2016/07/03,22:00,0.113280543,0.113280543,
4260,2016/07/03,23:00,0.14821692,0.14821692,
4320,2016/07/04,00:00,0.221531942,0.221531942,
4380,2016/07/04,01:00,0.153755447,0.153755447,
4440,2016/07/04,02:00,0.157213086,0.157213086,
