,Time Period,Avg Price (c/kwh)
0,0,96.7140409694845
1,1,91.36379147940981
2,2,95.37837809085849
3,3,96.71391470057614
4,4,95.6273056976031
5,5,96.71404768295938
6,6,96.71398029960348
7,7,155.41176349848044
8,8,155.41198
9,9,155.41202000000004
10,10,106.17220611382237
11,11,122.94002000000002
12,12,122.94000999999999
13,13,122.93998000000002
14,14,122.93996000000003
15,15,109.732694425804
16,16,122.94004000000001
17,17,122.93996000000003
18,18,155.41192
19,19,155.41232
20,20,155.412
21,21,122.94000000000003
22,22,122.9401
23,23,122.93982435498452
