,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.6049896179618725,-4.828315525173821e-11,-0.06999998864847749,0.0,0.0,0.5555813941121155,0.16063380015516127
1,agent2,0,-0.3061884568389282,0.0,-0.04,0.07,0.0,0.5441114112544327,-0.23312349270314878
2,agent3,0,-0.6353250375455914,0.0,-0.04,0.02,0.0,0.5631616056800766,0.13674287777293764
3,agent4,0,-0.41736553729173653,0.0,-0.15,0.02,0.0,0.5557251921749975,0.025763889268670633
4,agent5,0,-0.6692535751656787,0.0,-0.04,0.08,0.0,0.5646737640808925,0.1385751548076747
5,agent1,1,-0.44816165738474073,0.0,-0.07,0.59,0.0,0.0,0.048863604250257334
6,agent2,1,-0.5742500449115477,0.0,-0.04,0.3,0.0,0.0,0.37399781639710883
7,agent3,1,-0.29785619340134495,0.0,-0.04,0.61,0.0,0.0,-0.08264958422562216
8,agent4,1,-0.5802413199033636,0.0,-0.09,0.42,0.0,0.0,0.3321280042945123
9,agent5,1,-0.3668941021898312,0.0,-0.04,0.61,0.0,0.0,-0.06533618913329789
10,agent1,2,-0.39707991397512576,0.0,-0.14,0.44,0.0,0.0,0.2651570503934705
11,agent2,2,-0.4353336851901099,0.0,-0.15,0.53,0.0,0.0,0.21992325706938054
12,agent3,2,-0.34322164307572595,0.0,-0.04,0.3,0.0,0.0,0.1722548604290191
13,agent4,2,-0.3150649464493187,0.0,-0.09,0.53,0.0,0.0,0.012811982948439174
14,agent5,2,-0.30606300262326036,0.0,-0.03,0.43,0.0,0.0,0.0014147037634957699
15,agent1,3,-0.26200294550810055,0.0,-0.11,0.39,0.0,0.1443422069299301,-0.07874314964868141
16,agent2,3,-0.5115741516197113,0.0,-0.16,0.48,0.0,0.15903355271809383,0.23713290950270074
17,agent3,3,-0.6313911022576363,0.0,-0.05,0.35,0.0,0.15580970038734332,0.3081949130090601
18,agent4,3,-0.37927775902801264,0.0,-0.09,0.35,0.0,0.14565797424339372,0.08185924503057485
19,agent5,3,-0.3792961635626583,0.0,-0.03,0.28,0.0,0.14850945174989055,0.07070453797759157
20,agent1,4,-0.5656282504311598,0.0,-0.08,0.26,0.01,0.0,0.4575106207151114
21,agent2,4,-0.2636831625469659,0.0,-0.04,0.48,0.01,0.0,-0.04267544100331608
22,agent3,4,-0.275754595101734,0.0,-0.04,0.6,0.0,0.0,-0.1017584179395476
23,agent4,4,-0.36523051259807654,0.0,-0.2,0.39,0.01,0.0,0.28959721187882737
24,agent5,4,-0.3242553699052777,0.0,-0.04,0.41,0.01,0.0,0.10201650670507029
25,agent1,5,-0.3658549667453339,0.0,-0.07,0.58,0.09,0.041746250821341424,-0.05118087758817899
26,agent2,5,-0.5305312381055954,0.0,-0.15,0.31,0.09,0.037684203404473315,0.4434565806409315
27,agent3,5,-0.20567476670929802,0.0,-0.05,0.29,0.01,0.03814014905885732,0.0008696879441661837
28,agent4,5,-0.2817966202193894,0.0,-0.18,0.34,0.06,0.039199254878475004,0.19475955189838068
29,agent5,5,-0.46264422892628543,0.0,-0.04,0.32,0.05,0.03986211442596277,0.23633799590278576
30,agent1,6,-0.3027320605661619,0.0,-0.74,0.36,0.18,0.4327992130185615,0.5713725907722315
31,agent2,6,-0.2549658208367635,0.0,-0.64,0.48,0.18,0.4296552853415349,0.4789777996257029
