,Time Period,Total Social Welfare (R/kwh)
0,0,0.22859222930129547
1,1,0.6070036515829584
2,2,0.6715618546038051
3,3,0.6191484558712458
4,4,0.7046904803561453
5,5,0.8242429387980852
6,6,1.9437824178359828
7,7,1.6831502264750138
8,8,0.18172438743804958
9,9,0.7420145606626629
10,10,1.8560796144904983
11,11,1.9038942235344452
12,12,1.780601154617994
13,13,1.3940499373603028
14,14,1.01476239664329
15,15,0.6516205503163832
16,16,0.20780129367398578
17,17,0.12626204739288152
18,18,-0.19364543464954204
19,19,-0.4347209718434326
20,20,-0.2755150576993628
21,21,0.09522061411242794
22,22,0.07297919324153582
23,23,0.09905069961417357
