,Time Period,Avg Price (c/kwh)
0,0,96.71402174400384
1,1,96.7139857488616
2,2,96.71391341802567
3,3,96.71395073655583
4,4,96.26232006526627
5,5,96.71404617334541
6,6,96.71390860047116
7,7,155.412
8,8,155.41188000000002
9,9,155.41190676952837
10,10,107.80434874401628
11,11,122.94003000000001
12,12,122.93996000000003
13,13,122.94027422692324
14,14,122.93983993812687
15,15,122.94024755496396
16,16,122.94024000000002
17,17,122.93999999999998
18,18,155.41204
19,19,155.41168000000002
20,20,155.41188000000002
21,21,122.94
22,22,122.9401
23,23,122.93996000000003
