,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.5628678626827914,-4.8762771598376276e-11,-0.06999998980001411,0.0,0.0,0.45949306673573265,0.2064173474773287
1,agent2,0,-0.5222049084534471,0.0,-0.04,0.07,0.0,0.4605752274999829,0.076617322057515
2,agent3,0,-0.319768033370638,0.0,-0.04,0.02,0.0,0.4599589375601355,-0.09468476851190817
3,agent4,0,-0.39287500000000014,0.0,-0.15,0.02,0.0,0.45496695573406776,0.11621398510245345
4,agent5,0,-0.35604700978405607,0.0,-0.04,0.09,0.0,0.45881462925699934,-0.10855972225808136
5,agent1,1,-0.4180475707361065,0.0,-0.07,0.56,0.0,0.024054987651689064,0.06701814310227062
6,agent2,1,-0.30752067200419997,0.0,-0.04,0.49,0.0,0.026417595896987556,-0.01433626940962976
7,agent3,1,-0.39366501256686215,0.0,-0.04,0.32,0.0,0.025696783324232975,0.16192048033604228
8,agent4,1,-0.4318181818181821,0.0,-0.09,0.38,0.0,0.026857056804968193,0.22394998631932556
9,agent5,1,-0.3763207922542994,0.0,-0.04,0.33,0.0,0.024355962929671182,0.16822279819693867
10,agent1,2,-0.3726708074534167,0.0,-0.15,0.4,0.0,0.05750750337639482,0.17721554568772177
11,agent2,2,-0.26951845514544126,0.0,-0.15,0.32,0.0,0.05763553891920953,0.13371014263172226
12,agent3,2,-0.31184486373165565,0.0,-0.04,0.37,0.0,0.0577254540601595,0.013816956261343216
13,agent4,2,-0.4288892057607298,0.0,-0.09,0.44,0.0,0.0591697985769411,0.1450656685275017
14,agent5,2,-0.3738920796993552,0.0,-0.03,0.4,0.0,0.054668973752995675,0.0667577240866819
15,agent1,3,-0.5371520000000001,0.0,-0.11,0.37,0.0,0.17976955352751744,0.2514571473839632
16,agent2,3,-0.3330922242314643,0.0,-0.15,0.28,0.0,0.1675633676591311,0.1826950256906323
17,agent3,3,-0.5022784186542965,0.0,-0.05,0.32,0.0,0.1779291504678192,0.18537003224627735
18,agent4,3,-0.40365261662325364,0.0,-0.09,0.4,0.0,0.18280110846294675,0.058488325098873556
19,agent5,3,-0.41047922854104835,0.0,-0.03,0.36,0.0,0.1784421544182171,0.00585339732261754
20,agent1,4,-0.28718141777580997,0.0,-0.08,0.54,0.01,0.0,-0.01175452526539561
21,agent2,4,-0.30828760295478347,0.0,-0.04,0.35,0.01,0.0,0.08817454038629695
22,agent3,4,-0.37920269017849956,0.0,-0.04,0.46,0.0,0.0,0.0429615261231198
23,agent4,4,-0.3062136718465413,0.0,-0.21,0.42,0.01,0.0,0.20313337253774427
24,agent5,4,-0.5368467620845684,0.0,-0.04,0.4,0.01,0.0,0.3004062468458425
25,agent1,5,-0.5234724910146525,0.0,-0.07,0.3,0.09,0.1536133580833859,0.23668779805304216
26,agent2,5,-0.536586439037268,0.0,-0.15,0.31,0.09,0.16065228702278178,0.3849334731832984
27,agent3,5,-0.48688193743693253,0.0,-0.05,0.39,0.01,0.1673890754114245,0.11700156846842401
28,agent4,5,-0.5260661633927517,0.0,-0.19,0.32,0.06,0.16297900335470122,0.3701733979797993
29,agent5,5,-0.403341344471148,0.0,-0.04,0.54,0.05,0.1717969941229436,-0.07901232118408999
30,agent1,6,-0.3582993329447576,0.0,-0.77,0.5,0.18,0.2817249291120426,0.6543255728432211
31,agent2,6,-0.42287452721591867,0.0,-0.66,0.53,0.18,0.27574660435625675,0.5236748795162168
32,agent3,6,-0.18579986687375177,0.0,-1.04,0.5,0.03,0.2736158181553706,0.8781969717376625
33,agent4,6,-0.29359209514229995,0.0,-0.14,0.47,0.13,0.2639508556525812,-0.1261036070226561
34,agent5,6,-0.3882604788836619,0.0,-0.15,0.41,0.1,0.2836836865190726,-0.013167884954115028
35,agent1,7,-0.09,0.0,-0.23,0.37,0.26,0.20020499221559462,-0.2190763241021072
36,agent2,7,-0.03,0.0,-1.28,0.39,0.26,0.1984603700492005,1.1002694724243292
