,Time Period,Total Social Welfare (R/kwh)
0,0,0.19600416386730762
1,1,0.6067751385449474
2,2,0.5365660371949708
3,3,0.683863927742364
4,4,0.6229211606276079
5,5,1.0297839165004739
6,6,1.9169259321203294
7,7,1.714968189912026
8,8,1.1095566052741905
9,9,1.7052105366204786
10,10,1.6038785841298921
11,11,1.5665381451120395
12,12,1.7096896784659026
13,13,1.361420394652348
14,14,0.9251607486182403
15,15,0.5952558836073742
16,16,0.26193667062179427
17,17,0.044414237084904454
18,18,-0.29048717781438027
19,19,-0.372532945232643
20,20,-0.4590067364147418
21,21,0.05942207970441592
22,22,0.0652192584156328
23,23,0.14969933271952546
