,Time Period,Avg Price (c/kwh)
0,0,96.71400237706699
1,1,84.01773146765754
2,2,89.33637375399206
3,3,96.32695208282479
4,4,96.71397710968665
5,5,96.7140764471037
6,6,96.7140420184349
7,7,155.412
8,8,155.41200162298435
9,9,155.41218741935603
10,10,109.34535998936465
11,11,122.94003000000001
12,12,122.93999000000002
13,13,122.94005999999999
14,14,122.93996000000003
15,15,122.9396
16,16,122.94015999999999
17,17,122.9399777142855
18,18,155.41200000000003
19,19,155.41188000000002
20,20,155.41187978331618
21,21,122.93974146615459
22,22,122.94
23,23,122.93984000000002
