,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.7145137835690925,-7.986500349943526e-11,-0.0699999958610603,0.0,0.0,0.6679860935217597,0.1602030248172348
1,agent2,0,-0.6435489112772177,0.0,-0.04,0.08,0.0,0.6785477080110865,-0.02440692237445624
2,agent3,0,-0.750742492575074,0.0,-0.04,0.02,0.0,0.6956603509115931,0.13124378309656687
3,agent4,0,-0.7028836955036222,0.0,-0.15,0.02,0.0,0.6679075137646162,0.21772734869908428
4,agent5,0,-0.46886984904120776,0.0,-0.04,0.08,0.0,0.7104701206666937,-0.2216850106835581
5,agent1,1,-0.56,0.0,-0.07,0.71,0.0,0.0,0.13281300754541323
6,agent2,1,-0.5474885913805759,0.0,-0.04,0.57,0.0,0.0,0.19203549802081404
7,agent3,1,-0.52,0.0,-0.04,0.72,0.0,0.0,0.030996843008306962
8,agent4,1,-0.5294818622579603,0.0,-0.09,0.69,0.0,0.0,0.12727598316807903
9,agent5,1,-0.7312556357046203,0.0,-0.04,0.46,0.0,0.0,0.4194308552444123
10,agent1,2,-0.5315609062864054,0.0,-0.14,0.55,0.0,0.0,0.33966788205420323
11,agent2,2,-0.4640660796970361,0.0,-0.14,0.57,0.0,0.0,0.21542135115062302
12,agent3,2,-0.618379599921567,0.0,-0.04,0.51,0.0,0.0,0.24637877399777425
13,agent4,2,-0.47267806095990444,0.0,-0.1,0.54,0.0,0.0,0.20167059611421093
14,agent5,2,-0.38454359823011286,0.0,-0.03,0.73,0.0,0.0,-0.11917059988784717
15,agent1,3,-0.43479923356775424,0.0,-0.11,0.51,0.0,0.0,0.21939935628865273
16,agent2,3,-0.41022975817694596,0.0,-0.16,0.46,0.0,0.0,0.30297738210104186
17,agent3,3,-0.3171909636333022,0.0,-0.05,0.64,0.0,0.0,-0.10713732210026516
18,agent4,3,-0.3852282144743398,0.0,-0.09,0.43,0.0,0.0,0.17371873310190028
