,Time Period,Total Social Welfare (R/kwh)
0,0,0.26308222355487165
1,1,0.9025521869870256
2,2,0.8839680034289643
3,3,0.8320972265755585
4,4,0.6909171016947697
5,5,0.9676785639222586
6,6,1.7438119115988098
7,7,1.4174272317413201
8,8,1.276403564747182
9,9,0.7537704908932391
10,10,1.5681679336022931
11,11,2.139595323048992
12,12,1.4044698806063234
13,13,1.429127189700967
14,14,0.9289059381547916
15,15,0.569048841518504
16,16,0.30026847233209075
17,17,0.09165657465257877
18,18,-0.2229811575231196
19,19,-0.2928530043054448
20,20,-0.6473742911974792
21,21,0.002638074228324336
22,22,-0.09851163548064301
23,23,0.05892612166608763
