,Time Period,Avg Price (c/kwh)
0,0,96.71400752155449
1,1,95.92834325833618
2,2,96.47040184288498
3,3,96.71383313183297
4,4,95.74780930873803
5,5,96.71407858598438
6,6,96.71396537952116
7,7,155.41208000000003
8,8,155.41176000000002
9,9,155.41196000000002
10,10,155.41010215590782
11,11,122.93996
12,12,122.94006000000002
13,13,122.94003999999998
14,14,122.93996
15,15,122.94008000000001
16,16,122.94
17,17,122.94008000000001
18,18,155.412
19,19,155.41200000000003
20,20,155.412
21,21,122.94033320363704
22,22,122.94002000000002
23,23,122.94008000000001
