,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.525448522333098,-1.2208900557197921e-11,-0.06999999988418493,0.0,0.0,0.4873520036246534,0.12791258367824737
1,agent2,0,-0.3493842169247843,0.0,-0.04,0.07,0.0,0.5237132989433015,-0.16257864916431453
2,agent3,0,-0.6721692629621024,0.0,-0.04,0.02,0.0,0.5099317687103737,0.21462533065159317
3,agent4,0,-0.2607347607347614,0.0,-0.15,0.02,0.0,0.5204793518665061,-0.08997107487601093
4,agent5,0,-0.6235227380164509,0.0,-0.04,0.09,0.0,0.5298079999503091,0.10059211183907371
5,agent1,1,-0.3384565156855324,0.0,-0.07,0.52,0.0,0.0,-0.015552779821116386
6,agent2,1,-0.6249181695376184,0.0,-0.04,0.35,0.0,0.0,0.40351843808576066
7,agent3,1,-0.18662720029751215,0.0,-0.04,0.62,0.0,0.0,-0.252442292826783
8,agent4,1,-0.6643088552404678,0.0,-0.09,0.24,0.0,0.0,0.608608220153405
9,agent5,1,-0.21187145503505597,0.0,-0.04,0.56,0.0,0.0,-0.1696294294837019
10,agent1,2,-0.32550432357039105,0.0,-0.15,0.34,0.0,0.0,0.2575938849258723
11,agent2,2,-0.23589371532511474,0.0,-0.15,0.57,0.0,0.0,0.0025469685156448985
12,agent3,2,-0.2904822816446907,0.0,-0.04,0.23,0.0,0.0,0.16624015860108393
13,agent4,2,-0.30055557387167603,0.0,-0.1,0.61,0.0,0.0,-0.05146560046397844
14,agent5,2,-0.3961953592177487,0.0,-0.03,0.25,0.0,0.0,0.23941517369921364
15,agent1,3,-0.5033365999346677,0.0,-0.12,0.31,0.0,0.18420890801126266,0.21737326750150032
16,agent2,3,-0.29770505737356556,0.0,-0.15,0.29,0.0,0.17738695708537536,0.08061418139398813
17,agent3,3,-0.4988877654196157,0.0,-0.05,0.29,0.0,0.1816937091708068,0.17944856571977197
18,agent4,3,-0.3830186466518122,0.0,-0.1,0.36,0.0,0.18521412399432102,0.08618979808584101
19,agent5,3,-0.4485266339251981,0.0,-0.03,0.42,0.0,0.1826360609405428,0.026973617987261125
20,agent1,4,-0.28424127440300906,0.0,-0.08,0.47,0.01,0.0,-0.012569850226169285
21,agent2,4,-0.471978748249005,0.0,-0.04,0.3,0.01,0.0,0.3184648051142409
22,agent3,4,-0.2687599903356089,0.0,-0.04,0.51,0.0,0.0,-0.022276530023986968
23,agent4,4,-0.2721170126379913,0.0,-0.2,0.38,0.01,0.0,0.19055745747654917
24,agent5,4,-0.4286519766974659,0.0,-0.04,0.41,0.01,0.0,0.15827302510758434
25,agent1,5,-0.44906183646054515,0.0,-0.07,0.33,0.09,0.054364217503513224,0.24918475076960805
26,agent2,5,-0.18650250797993564,0.0,-0.16,0.44,0.09,0.05453350470790197,-0.027512742510180127
27,agent3,5,-0.3146823903316185,0.0,-0.05,0.25,0.01,0.055264775217338635,0.13886988303644507
28,agent4,5,-0.530488028453049,0.0,-0.18,0.27,0.06,0.05544374822325748,0.4893414477120813
29,agent5,5,-0.3137560367658517,0.0,-0.04,0.43,0.05,0.055059266276045904,-0.01686598753490881
30,agent1,6,-0.16157916157916152,0.0,-0.72,0.44,0.18,0.4257562557572492,0.6573394347275667
31,agent2,6,-0.39403520765681116,0.0,-0.68,0.2,0.18,0.42356669117998164,0.7248752058297121
32,agent3,6,-0.5925637620770178,0.0,-1.09,0.33,0.03,0.42446085812087525,1.4730236765668008
33,agent4,6,-0.42644642148807177,0.0,-0.14,0.54,0.13,0.42566537791637854,-0.21097705273274575
34,agent5,6,-0.2423106745929179,0.0,-0.14,0.34,0.1,0.41745585027891596,-0.25807556984244495
35,agent1,7,-0.08,0.0,-0.24,0.17,0.26,0.22263492400878931,-0.0705766342164093
36,agent2,7,-0.09,0.0,-1.31,0.4,0.26,0.2214928999243329,0.9191432297649635
37,agent3,7,-0.01,0.0,-0.37,0.56,0.04,0.2223182053502033,-0.21955852398462078
38,agent4,7,-0.07,0.0,-1.0,0.42,0.18,0.22211980322415825,0.6979585927407472
39,agent5,7,-0.1,0.0,-0.53,0.25,0.15,0.22159427078393518,0.21502134787378
40,agent1,8,-0.08,0.0,-0.64,0.09,0.33,0.7555051784980225,-0.47020866511406184
41,agent2,8,-0.07,0.0,-1.92,0.1,0.33,0.7566084390568404,1.6998514448976163
42,agent3,8,-0.07,0.0,-0.45,0.04,0.05,0.7549859626155262,-0.6266967133890446
43,agent4,8,-0.07,0.0,-1.26,0.08,0.24,0.7563888746907292,0.8611170561951305
44,agent5,8,-0.1,0.0,-0.67,0.1,0.19,0.7558749263696098,-0.38847832748770533
45,agent1,9,-0.09,0.0,-0.4,0.08,0.38,0.3837399913401657,-0.058931961541692335
46,agent2,9,-0.01,0.0,-0.02,0.07,0.38,0.38436171582047163,-0.6145023500909979
47,agent3,9,-0.05,0.0,-1.07,0.07,0.05,0.3835832442895564,0.5483713481177594
48,agent4,9,-0.04,0.0,-1.79,0.08,0.27,0.3845482117204305,1.9436451243691004
49,agent5,9,-0.1,0.0,-0.04,0.09,0.22,0.3837973594790427,-0.525431168013458
50,agent1,10,-0.1,0.0,-0.13,0.08,0.4,0.0057486125625252765,0.18363380829922799
51,agent2,10,-0.07,0.0,-0.3,0.02,0.4,0.010176358421171178,0.3940282830504894
52,agent3,10,-0.08,0.0,-0.74,0.05,0.06,0.007985061415368144,1.10392445301228
53,agent4,10,-0.08,0.0,-0.11,0.04,0.29,0.008027780831527574,0.18063210555053716
54,agent5,10,-0.07,0.0,-0.03,0.1,0.23,0.00799027612087823,0.01868701685263907
55,agent1,11,-0.01,0.0,-0.1,0.1,0.4,0.6358126164637199,-0.7126161123106266
56,agent2,11,-0.06,0.0,-1.2,0.07,0.4,0.6361578398648573,0.6015836656312239
57,agent3,11,-0.09,0.0,-1.47,0.09,0.06,0.6363332665883289,0.9610633650150313
