,Time Period,Total Social Welfare (R/kwh)
0,0,0.19058030212858879
1,1,0.5745021561075643
2,2,0.6143305852778363
3,3,0.5905994306883626
4,4,0.6324489074482181
5,5,0.8330173514730455
6,6,2.386185694548889
7,7,1.5419880121784606
8,8,1.075584795101935
9,9,1.2931509928407117
10,10,1.8809056667651736
11,11,1.70393564317878
12,12,1.2356777192286157
13,13,1.203908220541076
14,14,1.0431672158226262
15,15,0.633622203279284
16,16,0.27608180052103526
17,17,0.0392597875602831
18,18,-0.2917571545108558
19,19,-0.3749206531256455
20,20,-0.5149340840663411
21,21,0.03902586940664787
22,22,-0.07110447076770579
23,23,0.0594798978995571
