,Time Period,Avg Price (c/kwh)
0,0,84.50100678620174
1,1,94.90058860475435
2,2,96.7139304038638
3,3,96.71400801323384
4,4,96.7140635564907
5,5,96.71384258101563
6,6,96.71400118115885
7,7,104.459362865994
8,8,106.25151884026522
9,9,155.412
10,10,155.41184
11,11,122.93980163249316
12,12,122.94003999999998
13,13,107.15851518416927
14,14,122.94000000000003
15,15,122.93992
16,16,122.94099085640266
17,17,122.94
18,18,155.4118050331955
19,19,155.41224000000003
20,20,155.41210000000004
21,21,122.94006000000005
22,22,122.9399
23,23,122.93996
