,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.53,0.0,-0.07,0.67,0.0,0.0,0.16480103219364128
1,agent2,0,-0.5,0.0,-0.26,0.72,0.0,0.0,0.3102082464130702
2,agent3,0,-0.53,0.0,-0.15,0.69,0.0,0.0,0.1991827790520726
3,agent4,0,-0.56,0.0,-0.2,0.69,0.0,0.0,0.1546493308869401
4,agent5,0,-0.5,0.0,-0.04,0.69,0.0,0.0,0.08432981127958916
5,agent1,1,-0.30775689714806687,0.0,-0.12,0.59,0.0,0.0,0.02349760012256627
6,agent2,1,-0.4390957984549384,0.0,-0.31,0.5,0.0,0.0,0.408043701167959
7,agent3,1,-0.3767718444325777,0.0,-0.27,0.57,0.0,0.0,0.2867237255135073
8,agent4,1,-0.35002443110554443,0.0,-0.12,0.61,0.0,0.0,0.02350592090947695
9,agent5,1,-0.4728314569286626,0.0,-0.04,0.52,0.0,0.0,0.1476576249424234
10,agent1,2,-0.4263230027852686,0.0,-0.12,0.32,0.0,0.1778230797068219,0.2039754472158009
11,agent2,2,-0.4875864875864872,0.0,-0.42,0.44,0.0,0.1819289951647745,0.49609476817462045
12,agent3,2,-0.22932446264073647,0.0,-0.23,0.35,0.0,0.17142262558526453,0.11104182527628059
13,agent4,2,-0.3250148752231285,0.0,-0.09,0.34,0.0,0.18342318163147317,-0.014240313077400743
14,agent5,2,-0.4819895989535141,0.0,-0.04,0.5,0.0,0.18556506969898778,0.0008519860006567515
15,agent1,3,-0.3151199597668848,0.0,-0.09,0.38,0.0,0.19970531417720808,-0.05145179875018158
16,agent2,3,-0.33330773366100913,0.0,-0.32,0.49,0.0,0.201797545348937,0.17462524435332422
17,agent3,3,-0.6241773855818123,0.0,-0.38,0.27,0.0,0.19497889032010796,0.718954216153483
18,agent4,3,-0.4833186606356819,0.0,-0.1,0.33,0.0,0.19911921510255287,0.17284948127108402
19,agent5,3,-0.2385923859238592,0.0,-0.04,0.46,0.0,0.19890225539193052,-0.25137426549587744
20,agent1,4,-0.4704000000000001,0.0,-0.13,0.36,0.01,0.2172284126531872,0.14952387798162153
21,agent2,4,-0.3559701158681163,0.0,-0.25,0.32,0.01,0.21219678240783152,0.17421025057292017
22,agent3,4,-0.3218337470709697,0.0,-0.32,0.58,0.0,0.22127496406731323,0.06985066803149653
23,agent4,4,-0.3869487079852343,0.0,-0.37,0.47,0.01,0.22078621445860236,0.2244277615440947
24,agent5,4,-0.42849604221635806,0.0,-0.04,0.24,0.01,0.19225295308423476,0.11353943864964106
25,agent1,5,-0.21786379631546238,0.0,-0.16,0.44,0.09,0.11217092317821165,-0.02517254931840579
26,agent2,5,-0.44735714285714295,0.0,-0.04,0.37,0.09,0.10816971343848514,0.09678805668783334
27,agent3,5,-0.44262125902992755,0.0,-0.28,0.34,0.01,0.11153381523416478,0.4007910158843564
28,agent4,5,-0.5280380952380953,0.0,-0.19,0.39,0.07,0.10950812022187256,0.37853186112934156
29,agent5,5,-0.48676363636363623,0.0,-0.04,0.43,0.05,0.11095562742646137,0.10572481918313974
30,agent1,6,-0.5567910719340101,0.0,-0.49,0.24,0.18,0.4999807374806582,0.4431542461557732
31,agent2,6,-0.38535364646353526,0.0,-1.29,0.42,0.18,0.507849946490502,1.1310544759424546
32,agent3,6,-0.49908448862150145,0.0,-0.63,0.46,0.03,0.5059717705091356,0.7309670973973081
33,agent4,6,-0.4799414600550964,0.0,-0.13,0.52,0.13,0.5069138515413716,-0.2158517541402965
34,agent5,6,-0.1899352130668854,0.0,-0.64,0.51,0.1,0.5003637838602112,0.07975808258057826
35,agent1,7,-0.1,0.0,-0.28664953500497853,0.56,0.26,0.0,0.06964744997477607
36,agent2,7,-0.1074191723466624,0.0,-0.16839190664622095,0.4,0.26,0.0,0.048747204061411475
37,agent3,7,-0.15469038993675743,0.0,-0.67,0.46,0.04,0.0,0.6023943939711078
38,agent4,7,-0.19789281796665345,0.0,-1.02,0.49,0.19,0.0,1.0292353630371252
39,agent5,7,-0.0565965500945767,0.0,-0.23630436288563617,0.17,0.15,0.0,0.27628819711784736
40,agent1,8,-0.02,0.0,-0.4870833906339367,0.1,0.33,0.0,0.5828040148830469
41,agent2,8,-0.03,0.0,-0.04,0.13,0.33,0.0,-0.027825509354426792
42,agent3,8,-0.09259029612601773,0.0,-0.04,0.18,0.05,0.0,0.00298585293772681
43,agent4,8,-0.13200059179847298,0.0,-0.2683335136227477,0.21,0.24,0.0,0.2768547230231052
44,agent5,8,-0.18695826420905381,0.0,-0.5503258744480154,0.07,0.19,0.0,0.8381867866524245
45,agent1,9,-0.02,0.0,-0.19,0.03,0.38,0.18063383295006905,-0.06014915993388159
46,agent2,9,-0.03,0.0,-0.1,0.04,0.38,0.1832653102140709,-0.15151690068435064
47,agent3,9,-0.08,0.0,-0.03,0.12,0.05,0.1823877074791081,-0.2595547775479315
48,agent4,9,-0.01,0.0,-2.07,0.13,0.27,0.18164243187886475,2.1387502620588448
49,agent5,9,-0.03,0.0,-0.16,0.19,0.22,0.18223554545975107,-0.20527833050945654
50,agent1,10,-0.08,0.0,-0.13,0.02,0.4,0.054030692215703335,0.1661222526137311
51,agent2,10,-0.05,0.0,-0.07,0.03,0.4,0.054018785309298406,0.03377731485561786
52,agent3,10,-0.09,0.0,-0.05,0.07,0.06,0.053955721798433554,0.014707757978870042
53,agent4,10,-0.07,0.0,-0.73,0.02,0.29,0.05405328807033194,0.7551072334441356
54,agent5,10,-0.1,0.0,-0.46,0.04,0.23,0.0540024126171503,0.5110887209839369
55,agent1,11,-0.04,0.0,-0.07,0.08,0.4,0.01612730467251771,0.0308860548659724
56,agent2,11,-0.09,0.0,-0.14,0.05,0.4,0.014469488198422815,0.20567464058103652
57,agent3,11,-0.07,0.0,-0.04,0.1,0.06,0.017389886119767307,0.015134584614108423
58,agent4,11,-0.07,0.0,-0.44,0.07,0.28,0.015971376505743207,0.723356947294634
59,agent5,11,-0.03,0.0,-0.86,0.1,0.23,0.015979954657662027,0.9270529977880082
60,agent1,12,-0.05,0.0,-0.73,0.04,0.34,0.09396235090600549,0.9505559739037126
61,agent2,12,-0.05,0.0,-0.1,0.08,0.34,0.09409090615577356,-0.008728577128319925
62,agent3,12,-0.01,0.0,-0.03,0.06,0.05,0.09411537735722264,-0.12028304571526348
63,agent4,12,-0.01,0.0,-0.12,0.06,0.24,0.09436691250443027,-0.011181515544646192
64,agent5,12,-0.09,0.0,-0.72,0.03,0.2,0.09349381215472127,0.8577614766686865
65,agent1,13,-0.01,0.0,-0.13,0.05,0.31,0.0,0.10760168846999199
66,agent2,13,-0.08,0.0,-0.04,0.06,0.31,0.0,0.07400991965435638
