,Time Period,Total Social Welfare (R/kwh)
0,0,0.9131711998253134
1,1,0.8894285726559329
2,2,0.797723713589958
3,3,0.7636028775318322
4,4,0.7315519967797739
5,5,0.9566632035662652
6,6,2.1690821479358173
7,7,2.026312608162268
8,8,1.6730058681418765
9,9,1.4622510933832245
10,10,1.4808032798762913
11,11,1.9021052251437596
12,12,1.6681243121841696
13,13,1.3387591615720948
14,14,0.9274223295795005
15,15,0.6902896724319018
16,16,0.3239874611785482
17,17,0.033959714503018136
18,18,-0.2633349621376697
19,19,-0.6022232865897573
20,20,-0.8437869068577473
21,21,0.011525133186527647
22,22,0.09017364969652088
23,23,0.04506802520207499
