,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.52,0.0,-0.07,0.68,0.0,0.0,0.11279157698077906
1,agent2,0,-0.52,0.0,-0.25,0.71,0.0,0.0,0.35203122278773114
2,agent3,0,-0.54,0.0,-0.14,0.69,0.0,0.0,0.279005375964974
3,agent4,0,-0.53,0.0,-0.2,0.69,0.0,0.0,0.26909386434467475
4,agent5,0,-0.55,0.0,-0.04,0.71,0.0,0.0,0.03373157502738078
5,agent1,1,-0.3066844163033981,0.0,-0.12,0.57,0.0,0.0,0.0714837531516598
6,agent2,1,-0.3948245739471746,0.0,-0.32,0.5,0.0,0.0,0.41157220384518545
7,agent3,1,-0.342380979246224,0.0,-0.26,0.55,0.0,0.0,0.3811692061095191
8,agent4,1,-0.39597308622197386,0.0,-0.12,0.54,0.0,0.0,0.1379564589406661
9,agent5,1,-0.45594160320788335,0.0,-0.04,0.58,0.0,0.0,0.06375588410989308
10,agent1,2,-0.5743000000000004,0.0,-0.13,0.29,0.0,0.22013627234705346,0.30645487882536704
11,agent2,2,-0.3678786787867883,0.0,-0.41,0.44,0.0,0.218233353916819,0.368846118716266
12,agent3,2,-0.33998320033599255,0.0,-0.22,0.38,0.0,0.2043031946649212,0.19495843880896385
13,agent4,2,-0.4913290927351854,0.0,-0.09,0.41,0.0,0.21998197073506842,0.10981415391833552
14,agent5,2,-0.367318127674593,0.0,-0.04,0.43,0.0,0.21813030354966303,-0.11688765593290663
15,agent1,3,-0.3309536452494741,0.0,-0.08,0.59,0.0,0.09806567090994042,-0.03291459779283387
16,agent2,3,-0.38200705605644825,0.0,-0.31,0.35,0.0,0.09791254627070312,0.3597043910334427
17,agent3,3,-0.3934022959505483,0.0,-0.37,0.34,0.0,0.09193928959648046,0.46171127017801983
18,agent4,3,-0.3149851472746145,0.0,-0.11,0.51,0.0,0.0979534850773322,-0.04860858641331545
19,agent5,3,-0.33952734896131115,0.0,-0.04,0.4,0.0,0.09508343757186263,0.00965544792742136
20,agent1,4,-0.2462184448828861,0.0,-0.13,0.34,0.01,0.19666365406103412,-0.06769375977365857
21,agent2,4,-0.26960133848727885,0.0,-0.26,0.39,0.01,0.18759008895146803,0.07907232205919021
22,agent3,4,-0.382333936417679,0.0,-0.31,0.36,0.0,0.21709857948806294,0.2660602591529658
23,agent4,4,-0.4213409778627172,0.0,-0.36,0.31,0.01,0.21770023792492088,0.3979348634722685
24,agent5,4,-0.36967404605629145,0.0,-0.04,0.34,0.01,0.1901476432956345,-0.011038917869247197
25,agent1,5,-0.30737897540341574,0.0,-0.17,0.24,0.09,0.1689405426790802,0.14036153569637813
26,agent2,5,-0.5182942136312285,0.0,-0.04,0.28,0.09,0.20071313770019938,0.17438124179231715
27,agent3,5,-0.443463839365042,0.0,-0.27,0.41,0.01,0.20154070446464079,0.27363076284259497
28,agent4,5,-0.43350053199574384,0.0,-0.2,0.43,0.07,0.20102969844820626,0.22226937327203944
29,agent5,5,-0.5442892055148247,0.0,-0.04,0.33,0.05,0.19491510827547942,0.16847524354899393
30,agent1,6,-0.29892099126516725,0.0,-0.46,0.29,0.18,0.40962811019385964,0.1955082554475765
31,agent2,6,-0.3248715849028513,0.0,-1.38,0.47,0.18,0.4104615691806047,1.26483537842208
32,agent3,6,-0.3752717090962677,0.0,-0.64,0.43,0.03,0.409127531309025,0.39412618681660927
33,agent4,6,-0.29856920381545604,0.0,-0.14,0.4,0.13,0.4048484145442094,-0.2167892531558262
34,agent5,6,-0.25740790338681774,0.0,-0.63,0.55,0.1,0.41097606824603883,0.24002845728705774
35,agent1,7,-0.06,0.0,-0.28,0.31,0.26,0.0,0.1082064838059576
36,agent2,7,-0.07377806486351184,0.0,-0.17,0.36,0.26,0.0,-0.03216216353340612
37,agent3,7,-0.09,0.0,-0.6,0.37,0.04,0.0,0.4892686193640948
38,agent4,7,-0.03,0.0,-0.94,0.31,0.19,0.0,1.1366256083597504
39,agent5,7,-0.05654670270719886,0.0,-0.23,0.26,0.15,0.0,0.118801774667397
40,agent1,8,-0.08,0.0,-0.4694403150153268,0.07,0.33,0.0,0.6356331209689225
41,agent2,8,-0.03,0.0,-0.03236007835792798,0.1,0.33,0.0,-0.010321184813149642
42,agent3,8,-0.05794426154185888,0.0,-0.04,0.12,0.05,0.0,0.014892783919268168
43,agent4,8,-0.01,0.0,-0.2689979250170187,0.06,0.24,0.0,0.2630032572285127
44,agent5,8,-0.06,0.0,-0.5389056811589015,0.08,0.19,0.0,0.6438809822693732
45,agent1,9,-0.01,0.0,-0.21,0.09,0.38,0.2190737470829945,-0.15867558082925526
46,agent2,9,-0.08,0.0,-0.09,0.03,0.38,0.21896869778960376,-0.16748532487812928
47,agent3,9,0.0,0.0,-0.03,0.06,0.05,0.21986591385865942,-0.3500257112395996
48,agent4,9,-0.03,0.0,-1.94,0.01,0.27,0.22141974034973133,1.7566578717439345
49,agent5,9,-0.1,0.0,-0.16,0.06,0.22,0.22073699986877227,-0.0792968544307292
50,agent1,10,-0.07,0.0,-0.13,0.01,0.4,0.022034876314807134,0.18782000420812445
51,agent2,10,-0.09,0.0,-0.07,0.08,0.4,0.02381614198599824,0.0908395045489615
52,agent3,10,-0.090000000000233,-7.460698725481052e-14,-0.04000000000024054,0.0,0.06,0.022055951834152175,0.10796592921308515
53,agent4,10,-0.02,0.0,-0.71,0.03,0.29,0.021009415624069855,0.9040974303807812
54,agent5,10,-0.02,0.0,-0.47,0.1,0.23,0.021032889191463733,0.4105994413341748
55,agent1,11,-0.03,0.0,-0.08,0.06,0.4,0.011224657797424407,0.05713581350384633
56,agent2,11,0.0,0.0,-0.14,0.09,0.4,0.011211274230936489,0.10344258676048657
