,Time Period,Avg Price (c/kwh)
0,0,96.7140677220814
1,1,95.58171422699874
2,2,96.7140268099603
3,3,96.71391251257944
4,4,95.12818909201229
5,5,96.71410665676815
6,6,96.7140655329995
7,7,155.41172000000003
8,8,155.412
9,9,155.41176000000002
10,10,155.41203995236893
11,11,122.93999896937638
12,12,122.93937947574567
13,13,122.94005235284774
14,14,122.94
15,15,122.94004000000001
16,16,122.93997999999999
17,17,122.94004000000001
18,18,155.41224000000003
19,19,155.412
20,20,155.41194000000002
21,21,122.94002996955946
22,22,122.94005988932395
23,23,122.93999337139323
