,Time Period,Total Social Welfare (R/kwh)
0,0,0.37277882102708504
1,1,0.7808483462665871
2,2,0.6244284436600308
3,3,0.667534290078312
4,4,0.7017479534279515
5,5,1.145713733817668
6,6,2.8145227323707864
7,7,1.1989598319351096
8,8,1.0899454401237574
9,9,1.3541848110921226
10,10,1.5199553641812173
11,11,1.637527328510722
12,12,0.8493197787388478
13,13,0.3798660903795038
14,14,0.6445161042198463
15,15,0.9505317561295106
16,16,0.2195711924953907
17,17,0.06089511507143475
18,18,-0.09688194226356173
19,19,-0.9851782370944198
20,20,-0.6929240748456238
21,21,1.4730986475602648
22,22,0.04339571610687337
23,23,0.03564244994713571
