,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.5,0.0,-0.07,0.74,0.0,0.0,0.05188124912363856
1,agent2,0,-0.53,0.0,-0.25,0.7,0.0,0.0,0.29425041227766924
2,agent3,0,-0.51,0.0,-0.14,0.71,0.0,0.0,0.18972610666891115
3,agent4,0,-0.55,0.0,-0.19,0.69,0.0,0.0,0.2502287219873776
4,agent5,0,-0.53,0.0,-0.04,0.7,0.0,0.0,0.10610925740723766
5,agent1,1,-0.39274149394767044,0.0,-0.12,0.47,0.0,0.0,0.17816458699305454
6,agent2,1,-0.3210908466834599,0.0,-0.31,0.57,0.0,0.0,0.21221613830617556
7,agent3,1,-0.454554265522107,0.0,-0.27,0.52,0.0,0.0,0.38405740707473435
8,agent4,1,-0.4673493698290339,0.0,-0.11,0.59,0.0,0.0,0.1433432575091334
9,agent5,1,-0.2437454070947267,0.0,-0.04,0.56,0.0,0.0,-0.16512325821977025
10,agent1,2,-0.43559518928522617,0.0,-0.13,0.39,0.0,0.30838129152436555,-0.027538021504587312
11,agent2,2,-0.3635784105397364,0.0,-0.43,0.3,0.0,0.2618023369984978,0.39573716582124596
12,agent3,2,-0.5078750787507879,0.0,-0.23,0.44,0.0,0.29500797141625895,0.2055228860455743
13,agent4,2,-0.41144000000000025,0.0,-0.09,0.45,0.0,0.30024999682826103,-0.11788462926467905
14,agent5,2,-0.6430896409196588,0.0,-0.04,0.25,0.0,0.2862248018703357,0.2176126777747777
15,agent1,3,-0.4614439324116739,0.0,-0.09,0.45,0.0,0.04744171643696127,0.17664859992991822
16,agent2,3,-0.411863681733923,0.0,-0.3,0.37,0.0,0.049357008977685524,0.5435757334513898
17,agent3,3,-0.18898262612763073,0.0,-0.39,0.53,0.0,0.048015034970925546,0.22809811145782832
18,agent4,3,-0.37467554452093393,0.0,-0.11,0.41,0.0,0.04431061219967819,0.15660484449418782
19,agent5,3,-0.2730592198308002,0.0,-0.04,0.64,0.0,0.05101293935755674,-0.1654961846885293
20,agent1,4,-0.36051233989378306,0.0,-0.13,0.44,0.01,0.29678785709774147,-0.09410413770905249
21,agent2,4,-0.25944379019838804,0.0,-0.26,0.39,0.01,0.280606650700754,-0.036064385534018195
22,agent3,4,-0.5790015793449156,0.0,-0.31,0.19,0.0,0.2578577108822658,0.5244881822929561
23,agent4,4,-0.3420571428571424,0.0,-0.34,0.37,0.01,0.2676612495743985,0.22059409468128963
24,agent5,4,-0.4462546701782326,0.0,-0.04,0.27,0.01,0.2641287798897677,0.05999144942331034
25,agent1,5,-0.21085746971036334,0.0,-0.16,0.39,0.09,0.07306142294121129,0.048150985804944396
26,agent2,5,-0.5867942671367741,0.0,-0.04,0.28,0.09,0.07341039683826844,0.37389353624576166
27,agent3,5,-0.2639767736172113,0.0,-0.26,0.55,0.01,0.07403744221985811,0.08062343606708523
28,agent4,5,-0.584094352758098,0.0,-0.19,0.35,0.07,0.07414553586383321,0.5935774109690589
29,agent5,5,-0.3336711059640994,0.0,-0.04,0.42,0.05,0.0748078030871977,0.004099549077134557
30,agent1,6,-0.42402979223833787,0.0,-0.48,0.21,0.18,0.5096315692702995,0.35578602538618603
31,agent2,6,-0.18953333333333341,0.0,-1.37,0.55,0.18,0.5152607411893371,0.830334390384756
32,agent3,6,-0.6267354930580276,0.0,-0.62,0.3,0.03,0.5069258033313812,0.6619270095505755
33,agent4,6,-0.31932104495424996,0.0,-0.14,0.56,0.13,0.522916675856107,-0.4477344732849369
34,agent5,6,-0.30608816332493355,0.0,-0.68,0.35,0.1,0.51102205297438,0.2883000305305551
35,agent1,7,-0.05,0.0,-0.31,0.42,0.26,0.0,0.12327586766981874
36,agent2,7,-0.08178252514355036,0.0,-0.18,0.25,0.26,0.0,0.136274415469389
37,agent3,7,-0.12278968124635109,0.0,-0.6724717347278628,0.6,0.04,0.0,0.4748532320232621
38,agent4,7,-0.05,0.0,-1.05,0.35,0.19,0.0,0.9234179554468404
39,agent5,7,-0.09,0.0,-0.24,0.31,0.15,0.0,0.15073500116445393
40,agent1,8,-0.01,0.0,-0.48,0.06,0.33,0.012968935837274098,0.516706699840112
41,agent2,8,-0.06,0.0,-0.04,0.08,0.33,0.011176841109785798,0.030643602779223844
42,agent3,8,-0.07,0.0,-0.04,0.14,0.05,0.011961309754122192,-0.0033048167180285692
43,agent4,8,-0.07,0.0,-0.27,0.08,0.24,0.011984575609005796,0.3084697901153317
44,agent5,8,-0.07,0.0,-0.56,0.11,0.19,0.0119771185527583,0.6790457762411635
45,agent1,9,-0.03,0.0,-0.19,0.02,0.38,0.21435561573328976,-0.1005435415493634
46,agent2,9,-0.03,0.0,-0.09,0.05,0.38,0.2139798169147332,-0.23786949211791575
47,agent3,9,-0.1,0.0,-0.03,0.09,0.05,0.21391425631302016,-0.25532589335979206
48,agent4,9,-0.08,0.0,-1.96,0.07,0.27,0.21309435256532772,2.0362067258490457
49,agent5,9,0.0,0.0,-0.16,0.07,0.22,0.2147358073125142,-0.13678666823487495
50,agent1,10,-0.08,0.0,-0.13,0.03,0.4,0.03811321544746169,0.14098628670879082
51,agent2,10,-0.09,0.0,-0.07,0.04,0.4,0.03811750633854457,0.09303447064914017
52,agent3,10,-0.08,0.0,-0.04,0.1,0.06,0.03435327006479355,0.003054910226902824
53,agent4,10,-0.08,0.0,-0.75,0.07,0.29,0.038157055600847256,0.9083135098496109
54,agent5,10,-0.010000000145148125,-4.39719372025138e-11,-0.48000000013923266,0.0,0.23,0.040782322357153906,0.5488915461170143
55,agent1,11,-0.01,0.0,-0.07,0.08,0.4,0.009977208345188747,0.017905396859824285
56,agent2,11,-0.02,0.0,-0.14,0.09,0.4,0.008760540839433971,0.1298642525923826
57,agent3,11,-0.06,0.0,-0.04,0.07,0.06,0.01001539838856158,0.03531478608162884
58,agent4,11,-0.02,0.0,-0.44,0.09,0.28,0.011345713442455427,0.44759568940612626
59,agent5,11,-0.07,0.0,-0.89,0.01,0.23,0.0100099944700619,1.2746771213432264
60,agent1,12,-0.03,0.0,-0.75,0.01,0.34,0.12359031920558688,0.8522531460351856
61,agent2,12,-0.01,0.0,-0.1,0.02,0.34,0.12386621151311236,-0.028466736411444538
62,agent3,12,-0.04,0.0,-0.04,0.06,0.05,0.12425774515311908,-0.10665718118673036
63,agent4,12,-0.09,0.0,-0.12,0.01,0.24,0.12433623555065917,0.057817837104198716
64,agent5,12,-0.08,0.0,-0.7,0.07,0.2,0.12417022520163842,0.8737393858569438
65,agent1,13,-0.04,0.0,-0.14,0.03,0.31,0.021424163623436153,0.18077565363873047
66,agent2,13,-0.05,0.0,-0.04,0.01,0.31,0.02262160399303966,0.06311974053964692
67,agent3,13,-0.03,0.0,-0.68,0.05,0.04,0.02197168093006102,0.7535933978570739
68,agent4,13,-0.06,0.0,-0.19,0.1,0.22,0.022035322070265602,0.18819697909316824
