,Time Period,Total Social Welfare (R/kwh)
0,0,0.8921957474648342
1,1,0.7526581316633275
2,2,0.6734500788723317
3,3,0.9394311046447948
4,4,0.6749052031544854
5,5,1.1003449181639846
6,6,1.6886129825671357
7,7,1.808556471773764
8,8,1.5315610522578025
9,9,1.3056811305870997
10,10,1.694280723551459
11,11,1.9053572462831885
12,12,1.6486864513981532
13,13,1.3536266306193814
14,14,1.1300833767258784
15,15,0.7060362121552921
16,16,0.30924091028833656
17,17,-0.0008741464748372903
18,18,-0.5221544875116233
19,19,-0.5949574135965279
20,20,-0.8736824527687841
21,21,0.12128790381398796
22,22,0.1920119010868132
23,23,0.0101449068922346
