,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.4343748093007511,0.0,-0.07,0.55,0.0,0.0,0.08603519903067763
1,agent2,0,-0.32863606343254603,0.0,-0.25,0.51,0.0,0.0,0.26554276909356134
2,agent3,0,-0.4114810632667144,0.0,-0.15,0.54,0.0,0.0,0.17478161653348123
3,agent4,0,-0.4182470537144575,0.0,-0.19,0.52,0.0,0.0,0.2723988916530776
4,agent5,0,-0.37951884911180084,0.0,-0.04,0.53,0.0,0.0,0.035081734140628734
5,agent1,1,-0.2356457216889463,0.0,-0.11,0.43,0.0,0.0713057760880334,-0.010830471458149915
6,agent2,1,-0.2395333333333331,0.0,-0.29,0.38,0.0,0.07129356588186186,0.2967428413596827
7,agent3,1,-0.34912895803659477,0.0,-0.26,0.42,0.0,0.07131213659729646,0.28880535318247524
8,agent4,1,-0.4187831497348021,0.0,-0.11,0.44,0.0,0.07131794216815501,0.17793579118648042
9,agent5,1,-0.37344386099474924,0.0,-0.04,0.4,0.0,0.07130560305307854,0.08064712396737003
10,agent1,2,-0.24902283480765283,0.0,-0.12,0.23,0.0,0.11934549694857194,0.1198949833677247
11,agent2,2,-0.22360374225426308,0.0,-0.43,0.23,0.0,0.1196578901965221,0.4693932336640524
12,agent3,2,-0.25982020282538465,0.0,-0.22,0.34,0.0,0.11955004475487238,0.11348260432619788
13,agent4,2,-0.28390919785630253,0.0,-0.09,0.4,0.0,0.11957041626194853,-0.06551162910267817
14,agent5,2,-0.23143999999999965,0.0,-0.04,0.35,0.0,0.11967212958168766,-0.11245908760363375
15,agent1,3,-0.2948278548060445,0.0,-0.09,0.24,0.0,0.25904955335883006,-0.016638139233932273
16,agent2,3,-0.41693590074954767,0.0,-0.3,0.22,0.0,0.2593076193913212,0.3550514670286598
17,agent3,3,-0.38663437622725494,0.0,-0.36,0.25,0.0,0.2592914110910769,0.45169696790554725
18,agent4,3,-0.1843063594894009,0.0,-0.11,0.32,0.0,0.2590735021207601,-0.18332956944236758
19,agent5,3,-0.3935,0.0,-0.04,0.25,0.0,0.25948240531025984,-0.004714618471764742
20,agent1,4,-0.26685296349962023,0.0,-0.13,0.31,0.01,0.22417923394404582,-0.01475777383427393
21,agent2,4,-0.33334111113703735,0.0,-0.26,0.43,0.01,0.22443617358655948,0.10868668337108782
22,agent3,4,-0.2082149315422369,0.0,-0.32,0.37,0.01,0.22437914049383814,0.12024789769570052
23,agent4,4,-0.5655919374398861,0.0,-0.36,0.18,0.0,0.22400777692945079,0.6206078777654346
24,agent5,4,-0.3373805218289846,0.0,-0.04,0.37,0.01,0.2243791404938711,-0.1237308589801256
25,agent1,5,-0.3287539010971335,0.0,-0.16,0.27,0.09,0.04676807521780635,0.327715632947985
26,agent2,5,-0.379500963586571,0.0,-0.04,0.32,0.09,0.04657110746960441,0.1613888095975546
