,Time Period,Total Social Welfare (R/kwh)
0,0,0.8338402104514266
1,1,0.8333006382378585
2,2,0.5248001046516629
3,3,0.6020661077861424
4,4,0.7110538260178234
5,5,1.0148846531067148
6,6,2.1504950663710902
7,7,2.057537681002521
8,8,1.7018498374507118
9,9,1.4157975230000006
10,10,1.8035305938717723
11,11,1.9906720486444907
12,12,1.5618897349999998
13,13,1.3250885519442845
14,14,0.983841468
15,15,0.5800775400000002
16,16,0.32518085762481547
17,17,0.021790715999999963
18,18,-0.6308071565000002
19,19,-0.47320095100000015
20,20,-0.7616098765013388
21,21,0.019267485987248034
22,22,0.032389172500000146
23,23,0.12477632449999997
