,Time Period,Avg Price (c/kwh)
0,0,96.7139928849329
1,1,96.7139977679456
2,2,96.71400621918941
3,3,96.71399248194372
4,4,96.32914939185179
5,5,96.71400627063898
6,6,96.71399513736807
7,7,155.40789343016345
8,8,155.40966744105017
9,9,155.41200244126034
10,10,105.59306449458093
11,11,105.5591710473377
12,12,122.9400047535235
13,13,122.94000999999999
14,14,122.94000124999998
15,15,122.94000374999999
16,16,122.93999338160143
17,17,122.93736845035981
18,18,155.41200125
19,19,143.73921717850945
20,20,132.9533485487209
21,21,122.94000125
22,22,122.94000375
23,23,122.94
