,Time Period,Total Social Welfare (R/kwh)
0,0,0.3453183094437341
1,1,0.6071943142965853
2,2,0.5000279953434568
3,3,0.5186466133687071
4,4,0.5937777837394388
5,5,0.7586403252244664
6,6,1.341886210245499
7,7,1.7893306519958179
8,8,1.5145864293670224
9,9,0.9157865119183377
10,10,1.7911039295703404
11,11,1.4738654843752037
12,12,0.4794297481156327
13,13,0.7673653797643659
14,14,0.7020617376331395
15,15,0.49994146555803654
16,16,0.20960423523678567
17,17,0.019326816727491924
18,18,-0.7270571870898632
19,19,0.22166266649282007
20,20,-0.17869436249688062
21,21,-0.06883791453322263
22,22,0.08559864280967724
23,23,0.12323921452439644
