,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.53,0.0,-0.1,0.52,0.0,0.0,0.2303035693866758
1,agent2,0,-0.53,0.0,-0.1,0.51,0.0,0.0,0.23798570766974608
2,agent3,0,-0.35117095410221666,0.0,-0.03,0.54,0.0,0.0,-0.03220739949062179
3,agent4,0,-0.51,0.0,-0.13,0.55,0.0,0.0,0.2644886480126069
4,agent5,0,-0.39999254612567087,0.0,-0.04,0.52,0.0,0.0,0.03222548360008838
5,agent1,1,-0.4003392804283238,0.0,-0.1,0.52,0.0,0.0,0.12928971874725934
6,agent2,1,-0.31809652174019915,0.0,-0.08,0.56,0.0,0.0,-0.01724744570539749
7,agent3,1,-0.4658160554507863,0.0,-0.04,0.37,0.0,0.0,0.22741845585432213
8,agent4,1,-0.4102281865580767,0.0,-0.1,0.5,0.0,0.0,0.16780540372751968
9,agent5,1,-0.43770557579642033,0.0,-0.04,0.42,0.0,0.0,0.16722771301027306
10,agent1,2,-0.28835305515817916,0.0,-0.09,0.43,0.0,0.0,0.08459381265518122
11,agent2,2,-0.42533427731279405,0.0,-0.05,0.34,0.0,0.0,0.23550127437570828
12,agent3,2,-0.2981086253705978,0.0,-0.03,0.44,0.0,0.0,-0.02758552896221028
13,agent4,2,-0.3590333712667021,0.0,-0.13,0.38,0.0,0.0,0.19564034831167415
14,agent5,2,-0.3113535089772017,0.0,-0.04,0.41,0.0,0.0,0.04058556666526829
15,agent1,3,-0.15157328474874482,0.0,-0.1,0.28,0.0,0.0,0.055217032737431705
16,agent2,3,-0.41658400980325305,0.0,-0.04,0.4,0.0,0.0,0.1598558411756537
17,agent3,3,-0.08965495405999904,0.0,-0.08,0.31,0.0,0.0,-0.06347662193081796
18,agent4,3,-0.13618057790342825,0.0,-0.31,0.38,0.0,0.0,0.2259558945686844
19,agent5,3,-0.34808635600487636,0.0,-0.04,0.32,0.0,0.0,0.1758128418180684
20,agent1,4,-0.03,0.0,-0.1376227149057132,0.16,0.0,0.0,0.09938108884811189
21,agent2,4,-0.1,0.0,-0.05,0.44,0.0,0.0,-0.1947531837622954
22,agent3,4,-0.04,0.0,-0.22,0.09,0.0,0.0,0.22544003375120836
23,agent4,4,-0.06,0.0,-0.33447810502607206,0.15,0.0,0.0,0.324725112185107
24,agent5,4,-0.20035045098553747,0.0,-0.04,0.35,0.0,0.0,0.019474630083579858
25,agent1,5,-0.08,0.0,-0.18,0.05,0.0,0.1674386210489774,0.06217381894404593
26,agent2,5,-0.03,0.0,-0.16461200000000006,0.1,0.0,0.16737270034945023,-0.009414153029264086
27,agent3,5,-0.08,0.0,-0.24,0.05,0.0,0.15190529140061892,0.15897716756432478
28,agent4,5,-0.02,0.0,-0.37653000000000003,0.08,0.0,0.18490695365615722,0.22794495088281236
29,agent5,5,-0.12677749536305633,0.0,-0.04,0.22,0.0,0.16636453948938001,-0.17086553986702724
30,agent1,6,-0.03,0.0,0.0,0.08,0.06,0.5261170748499179,-0.5718122743159244
31,agent2,6,-0.34726660333362186,0.0,-0.62,0.03,0.06,0.5239943196493746,0.5689509272527662
32,agent3,6,-0.19681091807958848,0.0,-0.79,0.08,0.05,0.5248554286607438,0.4756856203568429
33,agent4,6,-0.01,0.0,-0.86,0.01,0.01,0.5263449010642066,0.4009329295638532
34,agent5,6,-0.12392292025693293,0.0,-0.2,0.13,0.04,0.5266821075120336,-0.2826590147116794
35,agent1,7,-0.08,0.0,-0.47,0.03,0.14,0.0,-0.7982124150997957
36,agent2,7,-0.03,0.0,-0.3,0.32,0.14,0.0,-1.3256929311302068
37,agent3,7,0.0,0.0,-0.8,0.19,0.1,0.0,-0.3567747708082873
38,agent4,7,-0.08,0.0,-1.53,0.02,0.02,0.0,1.400209159849453
39,agent5,7,0.0,0.0,-0.62,0.13,0.08,0.0,-0.7135793586932666
40,agent1,8,-0.08,0.0,-0.52,0.08,0.19,0.0,0.05021106473822752
41,agent2,8,-0.03,0.0,-0.07,0.05,0.19,0.0,-0.6596651983063153
42,agent3,8,-0.01,0.0,-0.55,0.01,0.14,0.0,-0.11313364371261136
43,agent4,8,-0.03,0.0,-0.78,0.07,0.03,0.0,0.11426101492860363
44,agent5,8,-0.08,0.0,-0.51,0.01,0.11,0.0,-0.0297828622885197
45,agent1,9,-0.09,0.0,-0.16,0.08,0.23,0.0,-0.4824476670018144
46,agent2,9,-0.01,0.0,-0.12,0.03,0.23,0.0,-0.5494426550058809
47,agent3,9,-0.09,0.0,-1.09,0.01,0.17,0.0,0.7972015770338219
48,agent4,9,-0.09,0.0,-0.79,0.03,0.03,0.0,0.3473092799239953
49,agent5,9,-0.03,0.0,-0.27,0.07,0.13,0.0,-0.39528405302898895
50,agent1,10,-0.02,0.0,-0.24,0.09,0.25,0.0,0.05721780224578432
51,agent2,10,-0.04,0.0,-0.34,0.02,0.25,0.0,0.1958172940243825
52,agent3,10,-0.04,0.0,-0.24,0.08,0.18,0.0,0.09992388874729324
