,Time Period,Avg Price (c/kwh)
0,0,103.34699488280079
1,1,100.48804595394671
2,2,103.34699850496519
3,3,102.06673978268745
4,4,103.34699774672791
5,5,103.34699425630018
6,6,103.34699906246159
7,7,238.56100685132012
8,8,269.2474745021923
9,9,195.04971460815582
10,10,228.57902612194624
11,11,119.95074115945516
12,12,146.46600000000004
13,13,146.46212729695762
14,14,131.66597752335565
15,15,141.09104454626197
16,16,123.15217406941711
17,17,146.46472450004703
18,18,195.38073567739622
19,19,357.543
20,20,259.90200472575674
21,21,145.7665147267986
22,22,127.23112016775357
23,23,136.42042463123119
