,Time Period,Total Social Welfare (R/kwh)
0,0,0.1383268402120758
1,1,0.3608877286074188
2,2,0.3138027008344124
3,3,0.48001210597867083
4,4,0.3517881005695204
5,5,0.4582863365531119
6,6,0.785751918888319
7,7,-1.9894007963544373
8,8,-2.7437466162561597
9,9,-0.31701437604491456
10,10,-1.1753075983666603
11,11,1.5637505056703143
12,12,0.9487004656863021
13,13,0.7071893366181312
14,14,0.2853024584834043
15,15,-0.09208550798060847
16,16,0.08633384624016102
17,17,-0.2221634026832194
18,18,-1.0627946461382471
19,19,-11.720840259059948
20,20,-2.379818181297566
21,21,-0.07602076512566151
22,22,0.09571848011239438
23,23,-0.03417801128960654
